SET,Food,Health,Agri,Auto,Bank,Prop,ICT,Energy,Tourism,Trans,crisis
1.16,-0.57,0.58,3.4,-1.31,1.6,2.53,2.06,2.88,-1.66,0.56,2019
2.02,1.59,0.62,9.6,0.01,1.4,1.73,-1.28,4.42,3.08,-0.2,2019
-4.97,-6.37,-3.11,-0.17,-6.58,-4.06,-6.74,-2.63,-6.22,-5.07,-3.21,2019
-1.64,-0.96,2.36,-5.02,-3.99,-0.02,-3.79,-5.09,-3.57,-0.59,0.36,2019
-4.75,-5.29,-5.45,-12.5,-5.28,-4.42,-6.55,-5.47,-6.64,-5.07,0.14,2019
4.98,9.05,-1.8,9.03,5.41,3.49,6.37,5.41,6.64,7.45,6.43,2019
0.72,1.51,-0.22,2.8,1.16,-0.19,-0.93,3.03,0.42,4.15,-0.45,2019
-0.9,-1.1,2.34,-8.48,-2.89,-2.7,-2.92,-0.29,-0.02,-1.23,0.18,2019
2.13,2.32,2.17,3.39,1.04,-0.21,3.61,2.68,3.8,-2.47,2.27,2019
-3.18,2.12,-2.2,-5.91,-4.89,-1.99,-2.87,-0.83,-5.19,-14.15,-5.98,2019
6.8,4.82,1.49,6.66,1.08,3.36,5.46,11.69,7.99,2.85,11.12,2019
-1.06,1.46,-1.43,0.39,-3.28,-2.63,-0.74,1.66,-1.4,-4.35,-1.45,2019
-3.33,-1.25,-6.24,-6.74,-5.91,-8.52,-5.12,3.38,-3.62,-3.28,1.19,2019
-1.07,-3.5,-0.07,-2.38,-1.42,-1.82,-4.33,-4.86,2.22,0.51,1.43,2019
-2.18,-1.45,-1.12,-11.6,-7.64,-5.24,-4.8,1.45,-1.06,-7.85,2.26,2019
-0.68,2.29,3.27,-4.99,0.25,4.96,-1.44,-8.61,-1.55,3.34,-3.01,2019
-0.68,-1.54,3.73,0.9,1.02,-2.48,-1.76,-0.44,1.17,-9.56,-1.66,2019
-4.16,1.82,-4.36,7.82,-7.2,-9.05,-6.3,-4.74,-2.2,-15.25,-4.71,2019
-11.47,-9.76,-9.3,-12.58,-6.1,-12.06,-10.68,-6.12,-13.29,-10.8,-14.97,2019
-16.01,-14.89,-13.78,-13.39,-16.6,-23.14,-23.75,-2.2,-19.23,-15.14,-15.17,2019
15.61,13.66,9.79,22.04,7.62,2.53,24.15,2.61,20.77,21.7,22.91,2019
3.16,7.52,4.84,46.38,7.23,5.78,-0.9,0.33,2.14,6.22,0.12,2019
-0.28,1.14,0.17,3.8,2.94,-2.48,-2.07,-2.86,2.07,-1.35,-2.5,2019
-0.78,3.17,-1.92,-2.67,-1.86,-7.8,-0.81,0.37,-0.48,-5.6,-11.34,2019
-1.35,0.72,-2.85,1.48,-1.44,3.11,-0.88,-1.41,-5.59,8.34,5.15,2019
-5.62,-5.95,-6.63,0.34,3.63,-8.56,-7.94,-6.37,-9.35,-9.33,-1.09,2019
-3.4,-5.1,-5.43,20.94,1.91,-0.87,-7.38,-1.17,-3.94,-10.84,-7.87,2019
12.68,9.3,13.74,-13.7,23.62,35.25,29.85,6.78,28.79,22.51,25.24,2019
