,term,estimate,std.error,statistic,p.value,significant
1,(Intercept),-0.20943462,0.052850781,-3.962753561,7.41E-05,***
2,P_by_E,0.001704087,0.0020439,0.833742788,0.404425941,
3,PEG,-0.003449057,0.010325207,-0.334042391,0.738347571,
4,P_by_BV,0.013890405,0.040056114,0.346773656,0.72876137,
5,EV_by_EBITDA,-0.004136783,0.013729542,-0.301305228,0.763181755,
6,P_by_E_dummy,-0.001471261,0.002735058,-0.53792674,0.590627627,
7,PEG_dummy,0.004790016,0.010926888,0.438369673,0.661118327,
8,P_by_BV_dummy,-0.008196466,0.041877263,-0.195725914,0.8448247,
9,EV_by_EBITDA_dummy,0.013515947,0.014426975,0.936852491,0.34883444,
