,term,estimate,std.error,statistic,p.value,significant
1,(Intercept),0.065121141,0.041729667,1.560547829,0.118630477,
2,FixedAssetTurnover,0.004715815,0.021931265,0.215027057,0.829746224,
3,TotalAssetTurnover,0.022934013,0.044841593,0.511445099,0.609039422,
4,AverageCollectionPeriod_Days,-0.000253818,0.00035486,-0.715263121,0.474446472,
5,AccountPayableTurnover,-0.002324907,0.001635871,-1.421203938,0.15525748,
6,AveragePaymentPeriod_Days,-0.000655159,0.000317203,-2.065427488,0.03888257,**
7,CashCycle_Days,-8.56E-05,3.71E-05,-2.305295417,0.021150034,**
