,term,estimate,std.error,statistic,p.value,significant
1,(Intercept),0.019392651,0.010940083,1.772623814,0.076291063,***
2,CurrentRatio,0.076151631,0.024929362,3.054696366,0.002252885,***
3,QuickRatio,-0.075417985,0.02609804,-2.889794915,0.003854932,***
4,CurrentRatio_dummy,-0.167199116,0.03063978,-5.456929397,4.84E-08,***
5,QuickRatio_dummy,0.155873213,0.036054843,4.323225411,1.54E-05,***
