,term,estimate,std.error,statistic,p.value,significant
1,(Intercept),0.027955386,0.008160909,3.425523442,0.000613616,***
2,D_by_ERatio,0.000612874,0.001539419,0.398120281,0.690541525,***
3,InterestCoverage,-7.37E-08,1.08E-07,-0.684041004,0.493949274,***
4,D_by_ERatio_dummy,-0.010642427,0.003181855,-3.344724523,0.000823643,***
5,InterestCoverage_dummy,-2.97E-07,6.53E-07,-0.455448619,0.648786524,***
